round_num,protocol,workload,num_cores,avg_latency,p50_latency,p99_latency,traffic_bytes,hit_rate,efficiency,invalidation_count,merge_count,merge_conflicts
11,CRDT,GPT3_SCALE,4,2.0,2.0,2.0,792000,1.0,1.0,0,1500,1418
11,MESI,GPT3_SCALE,8,126.96768,127.0,127.0,1699572,0.00028,6.615856885783847e-06,8,0,0
11,CRDT,GPT3_SCALE,8,2.0,2.0,2.0,792000,1.0,1.0,0,1500,1355
11,MESI,GPT3_SCALE,16,126.98568,127.0,127.0,1699880,0.00016,3.7799537711653785e-06,22,0,0
11,CRDT,GPT3_SCALE,16,2.0,2.0,2.0,792000,1.0,1.0,0,1500,1176
11,MESI,GPT3_SCALE,32,126.99624,127.0,127.0,1699936,8e-05,1.889819730095946e-06,12,0,0
11,CRDT,GPT3_SCALE,32,2.0,2.0,2.0,792000,1.0,1.0,0,1500,906
11,MESI,GPT3_SCALE,64,127.00528,127.0,127.0,1700048,0.0,0.0,8,0,0
11,CRDT,GPT3_SCALE,64,2.0,2.0,2.0,792000,1.0,1.0,0,1500,464
12,MESI,RESNET50,32,122.64835,127.0,144.0,1321256,0.04815,0.0011777573852399972,4354,0,0
12,CRDT,RESNET50,32,2.0,2.0,2.0,633600,1.0,1.0,0,1200,283
12,MESI,BERT_BASE,32,124.9571,127.0,144.0,1337360,0.03235,0.0007766665519606329,3850,0,0
12,CRDT,BERT_BASE,32,2.0,2.0,2.0,633600,1.0,1.0,0,1200,575
12,MESI,GPT3_SCALE,32,126.98145,127.0,127.0,1359772,0.0002,4.725099611006174e-06,8,0,0
12,CRDT,GPT3_SCALE,32,2.0,2.0,2.0,633600,1.0,1.0,0,1200,590
13,MESI,BERT_BASE,16,113.72462,127.0,140.0,3083636,0.11838,0.003122806653475738,16937,0,0
13,CRDT,BERT_BASE,16,2.0,2.0,2.0,1584000,1.0,1.0,0,3000,2539
13,MESI,GPT3_SCALE,16,126.9629,127.0,127.0,3398984,0.00038,8.97900095224668e-06,49,0,0
13,CRDT,GPT3_SCALE,16,2.0,2.0,2.0,1584000,1.0,1.0,0,3000,2643
14,MESI,BERT_BASE,2,86.92186666666667,127.0,132.0,690488,0.3198,0.011037498811192887,784,0,0
14,CRDT,BERT_BASE,2,2.0,2.0,2.0,79200,1.0,1.0,0,150,144
14,MESI,BERT_BASE,4,105.1098,127.0,134.0,842392,0.17553333333333335,0.005009999067641647,1507,0,0
14,CRDT,BERT_BASE,4,2.0,2.0,2.0,475200,1.0,1.0,0,900,793
14,MESI,BERT_BASE,8,115.70233333333333,127.0,136.0,929752,0.09593333333333333,0.0024874174245981787,1926,0,0
14,CRDT,BERT_BASE,8,2.0,2.0,2.0,475200,1.0,1.0,0,900,692
14,MESI,BERT_BASE,16,122.24866666666667,127.0,139.0,982516,0.0478,0.0011730189286318052,2130,0,0
14,CRDT,BERT_BASE,16,2.0,2.0,2.0,475200,1.0,1.0,0,900,536
14,MESI,BERT_BASE,32,125.37993333333333,127.0,144.0,1005056,0.0268,0.0006412509391454986,2271,0,0
14,CRDT,BERT_BASE,32,2.0,2.0,2.0,475200,1.0,1.0,0,900,269
14,MESI,BERT_BASE,64,127.75013333333334,127.0,149.0,1020356,0.013066666666666667,0.000306848994808616,2375,0,0
14,CRDT,BERT_BASE,64,2.0,2.0,2.0,475200,1.0,1.0,0,900,111
15,MESI,GPT3_SCALE,32,126.98653333333333,127.0,127.0,2039748,0.00016666666666666666,3.937425385788939e-06,15,0,0
15,CRDT,GPT3_SCALE,32,2.0,2.0,2.0,950400,1.0,1.0,0,1800,1128
15,MESI,GPT3_SCALE,64,127.00233333333334,127.0,127.0,2039884,0.0001,2.362161325120011e-06,18,0,0
15,CRDT,GPT3_SCALE,64,2.0,2.0,2.0,950400,1.0,1.0,0,1800,628
16,MESI,LLAMA,16,124.8938,127.0,138.0,668984,0.0243,0.0005836959080434737,1045,0,0
16,CRDT,LLAMA,16,2.0,2.0,2.0,1267200,1.0,1.0,0,2400,1352
16,MESI,LLAMA,16,124.9677,127.0,138.0,669252,0.0234,0.0005617451549480386,976,0,0
16,CRDT,LLAMA,16,2.0,2.0,2.0,633600,1.0,1.0,0,1200,623
16,MESI,LLAMA,16,124.8514,127.0,138.0,669100,0.0242,0.0005814912768298953,1023,0,0
16,CRDT,LLAMA,16,2.0,2.0,2.0,316800,1.0,1.0,0,600,320
16,MESI,LLAMA,16,124.9343,127.0,138.0,669348,0.0235,0.0005642965942899588,1051,0,0
16,CRDT,LLAMA,16,2.0,2.0,2.0,158400,1.0,1.0,0,300,129
17,MESI,MIXTRAL,64,127.5694,127.0,147.0,2040380,0.005633333333333333,0.00013247691060708916,2209,0,0
17,CRDT,MIXTRAL,64,2.0,2.0,2.0,950400,1.0,1.0,0,1800,629
17,MESI,SAM,64,127.55453333333334,127.0,145.0,2042568,0.0020666666666666667,4.86066613077387e-05,1283,0,0
17,CRDT,SAM,64,2.0,2.0,2.0,950400,1.0,1.0,0,1800,612
18,MESI,BERT_BASE,16,120.6711,127.0,139.0,1295064,0.0613,0.0015239771577453094,3544,0,0
18,CRDT,BERT_BASE,16,2.0,2.0,2.0,633600,1.0,1.0,0,1200,847
18,MESI,BERT_BASE,16,120.5089,127.0,139.0,1293672,0.06305,0.0015695936150773927,3623,0,0
18,CRDT,BERT_BASE,16,2.0,2.0,2.0,633600,1.0,1.0,0,1200,786
18,MESI,BERT_BASE,16,120.3357,127.0,139.0,1290900,0.0637,0.0015880574093972114,3502,0,0
18,CRDT,BERT_BASE,16,2.0,2.0,2.0,633600,1.0,1.0,0,1200,791
18,MESI,BERT_BASE,16,120.75665,127.0,139.0,1296384,0.06095,0.0015142023234331193,3655,0,0
18,CRDT,BERT_BASE,16,2.0,2.0,2.0,633600,1.0,1.0,0,1200,759
18,MESI,BERT_BASE,16,120.49875,127.0,139.0,1292668,0.0622,0.0015485637817819688,3527,0,0
18,CRDT,BERT_BASE,16,2.0,2.0,2.0,633600,1.0,1.0,0,1200,804
19,MESI,RESNET50,16,116.2758,127.0,139.0,1252732,0.09425,0.0024317183799208433,3888,0,0
19,CRDT,RESNET50,16,2.0,2.0,2.0,633600,1.0,1.0,0,1200,635
19,MESI,VIT,16,126.15215,127.0,136.0,1350548,0.00945,0.00022472863125995077,640,0,0
